objID,u,g,r,i,z
588848900971364764,23.3695,21.58678,21.32331,20.98324,20.5618
588848900971364766,23.78853,22.22405,21.33473,21.1604,21.33166
588848900971364767,21.48591,22.94994,21.62078,21.97419,20.67045
588848900971364769,24.9307,22.2269,22.25515,22.36547,21.13584
588848900971364770,22.19029,22.75924,21.52075,21.18375,20.39824
588848900971364774,21.58666,21.91164,21.35611,20.82557,20.61068
588848900971364776,23.50607,22.39684,21.11634,20.82225,20.10262
588848900971364777,21.41676,25.08772,21.44319,20.73614,21.19726
588848900971364778,22.55271,21.82286,21.28569,20.66555,20.48287
588848900971364779,26.63934,23.52099,22.08957,23.07492,21.98808
588848900971364783,22.84991,21.31794,20.5022,20.06334,19.45467
588848900971364787,24.84223,22.2757,21.29228,21.45649,25.75105
588848900971364788,23.85574,25.08689,21.60123,21.09183,22.47286
588848900971364789,24.22326,22.18312,21.29268,21.07579,20.24176
